Leitura,Data 
2.446,2018-11-14 11:26:16
2.446,2018-11-14 11:26:20
2.446,2018-11-14 11:26:25
2.441,2018-11-14 11:26:30
2.441,2018-11-14 11:26:34
2.441,2018-11-14 11:26:39
2.422,2018-11-14 11:26:44
2.417,2018-11-14 11:26:49
2.373,2018-11-14 11:26:53
2.148,2018-11-14 11:26:58
2.017,2018-11-14 11:27:03
2.173,2018-11-14 11:27:07
2.227,2018-11-14 11:27:12
2.251,2018-11-14 11:27:17
2.285,2018-11-14 11:27:22
2.314,2018-11-14 11:27:26
2.314,2018-11-14 11:27:31
2.319,2018-11-14 11:27:36
2.285,2018-11-14 11:27:41
2.271,2018-11-14 11:27:45
2.139,2018-11-14 11:27:50
2.026,2018-11-14 11:27:55
2.095,2018-11-14 11:27:59
1.919,2018-11-14 11:28:04
1.895,2018-11-14 11:28:09
2.129,2018-11-14 11:28:14
2.305,2018-11-14 11:28:18
2.339,2018-11-14 11:28:23
2.329,2018-11-14 11:28:28
2.3,2018-11-14 11:28:32
2.246,2018-11-14 11:28:37
1.943,2018-11-14 11:28:42
1.89,2018-11-14 11:28:47
1.987,2018-11-14 11:28:51
2.197,2018-11-14 11:28:56
1.953,2018-11-14 11:29:01
1.938,2018-11-14 11:29:06
1.948,2018-11-14 11:29:10
1.982,2018-11-14 11:29:15
2.236,2018-11-14 11:29:20
1.841,2018-11-14 11:29:24
2.041,2018-11-14 11:29:29
2.08,2018-11-14 11:29:34
1.968,2018-11-14 11:29:39
2.202,2018-11-14 11:29:43
2.329,2018-11-14 11:29:48
2.358,2018-11-14 11:29:53
2.349,2018-11-14 11:29:57
2.3,2018-11-14 11:30:02
2.383,2018-11-14 11:30:07
2.402,2018-11-14 11:30:12
2.373,2018-11-14 11:30:16
2.251,2018-11-14 11:30:21
1.973,2018-11-14 11:30:26
1.904,2018-11-14 11:30:31
1.885,2018-11-14 11:30:35
1.88,2018-11-14 11:30:40
1.89,2018-11-14 11:30:45
1.978,2018-11-14 11:30:49
2.148,2018-11-14 11:30:54
2.061,2018-11-14 11:30:59
1.865,2018-11-14 11:31:04
1.875,2018-11-14 11:31:08
1.88,2018-11-14 11:31:13
1.88,2018-11-14 11:31:18
1.875,2018-11-14 11:31:22
1.885,2018-11-14 11:31:27
1.885,2018-11-14 11:31:32
1.89,2018-11-14 11:31:37
1.895,2018-11-14 11:31:41
1.89,2018-11-14 11:31:46
1.885,2018-11-14 11:31:51
2.031,2018-11-14 11:31:55
2.017,2018-11-14 11:32:00
1.978,2018-11-14 11:32:05
1.895,2018-11-14 11:32:10
1.895,2018-11-14 11:32:14
1.89,2018-11-14 11:32:19
1.899,2018-11-14 11:32:24
1.904,2018-11-14 11:32:29
1.899,2018-11-14 11:32:33
1.899,2018-11-14 11:32:38
1.899,2018-11-14 11:32:43
1.904,2018-11-14 11:32:47
1.904,2018-11-14 11:32:52
1.899,2018-11-14 11:32:57
1.904,2018-11-14 11:33:02
1.899,2018-11-14 11:33:06
1.904,2018-11-14 11:33:11
1.904,2018-11-14 11:33:16
1.909,2018-11-14 11:33:20
1.904,2018-11-14 11:33:25
1.904,2018-11-14 11:33:30
1.909,2018-11-14 11:33:35
1.909,2018-11-14 11:33:39
1.904,2018-11-14 11:33:44
1.909,2018-11-14 11:33:49
1.909,2018-11-14 11:33:54
1.904,2018-11-14 11:33:58
1.909,2018-11-14 11:34:03
1.909,2018-11-14 11:34:08
1.909,2018-11-14 11:34:12
1.909,2018-11-14 11:34:17
1.914,2018-11-14 11:34:22
1.909,2018-11-14 11:34:27
1.914,2018-11-14 11:34:31
1.909,2018-11-14 11:34:36
1.914,2018-11-14 11:34:41
1.914,2018-11-14 11:34:45
1.914,2018-11-14 11:34:50
