Leitura,Data
1.055,2018-11-14 11:26:16
1.055,2018-11-14 11:26:20
1.055,2018-11-14 11:26:25
1.06,2018-11-14 11:26:30
1.069,2018-11-14 11:26:35
1.055,2018-11-14 11:26:39
1.045,2018-11-14 11:26:44
1.035,2018-11-14 11:26:49
1.011,2018-11-14 11:26:54
0.854,2018-11-14 11:26:58
0.815,2018-11-14 11:27:03
0.889,2018-11-14 11:27:08
0.918,2018-11-14 11:27:12
0.933,2018-11-14 11:27:17
0.947,2018-11-14 11:27:22
0.972,2018-11-14 11:27:27
0.977,2018-11-14 11:27:31
0.972,2018-11-14 11:27:36
0.952,2018-11-14 11:27:41
0.938,2018-11-14 11:27:45
0.859,2018-11-14 11:27:50
0.811,2018-11-14 11:27:55
0.845,2018-11-14 11:28:00
0.752,2018-11-14 11:28:04
0.752,2018-11-14 11:28:09
0.864,2018-11-14 11:28:14
0.977,2018-11-14 11:28:19
0.986,2018-11-14 11:28:23
0.981,2018-11-14 11:28:28
0.957,2018-11-14 11:28:33
0.928,2018-11-14 11:28:37
0.767,2018-11-14 11:28:42
0.742,2018-11-14 11:28:47
0.781,2018-11-14 11:28:52
0.898,2018-11-14 11:28:56
0.762,2018-11-14 11:29:01
0.771,2018-11-14 11:29:06
0.762,2018-11-14 11:29:10
0.786,2018-11-14 11:29:15
0.928,2018-11-14 11:29:20
0.703,2018-11-14 11:29:25
0.825,2018-11-14 11:29:29
0.84,2018-11-14 11:29:34
0.771,2018-11-14 11:29:39
0.903,2018-11-14 11:29:44
0.977,2018-11-14 11:29:48
0.996,2018-11-14 11:29:53
0.972,2018-11-14 11:29:58
0.962,2018-11-14 11:30:02
1.016,2018-11-14 11:30:07
1.016,2018-11-14 11:30:12
0.996,2018-11-14 11:30:17
0.923,2018-11-14 11:30:21
0.771,2018-11-14 11:30:26
0.732,2018-11-14 11:30:31
0.737,2018-11-14 11:30:35
0.728,2018-11-14 11:30:40
0.728,2018-11-14 11:30:45
0.786,2018-11-14 11:30:50
0.874,2018-11-14 11:30:54
